Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
298.1,308.6,1551,42.8,0
298.2,308.7,1408,46.3,3
298.3,308.8,1498,49.4,5
299.0,309.1,1433,40.1,8
299.1,309.2,1408,40.0,11
299.2,309.3,1425,41.2,14
299.3,309.4,1498,43.1,17
299.4,309.5,1433,44.5,20
299.5,309.6,1408,45.0,23
299.6,309.7,1425,46.2,26
300.0,310.0,1551,42.8,30
300.1,310.1,1408,46.3,33
300.2,310.2,1498,49.4,36
300.3,310.3,1433,40.1,39
300.4,310.4,1408,40.0,42
300.5,310.5,1425,41.2,45
300.6,310.6,1498,43.1,48
300.7,310.7,1433,44.5,51
300.8,310.8,1408,45.0,54
300.9,310.9,1425,46.2,57
301.0,311.0,1551,42.8,60
301.1,311.1,1408,46.3,63
301.2,311.2,1498,49.4,66
301.3,311.3,1433,40.1,69
301.4,311.4,1408,40.0,72
301.5,311.5,1425,41.2,75
301.6,311.6,1498,43.1,78
301.7,311.7,1433,44.5,81
301.8,311.8,1408,45.0,84
301.9,311.9,1425,46.2,87
302.0,312.0,1551,42.8,90
302.1,312.1,1408,46.3,93
302.2,312.2,1498,49.4,96
302.3,312.3,1433,40.1,99
302.4,312.4,1408,40.0,102
302.5,312.5,1425,41.2,105
302.6,312.6,1498,43.1,108
302.7,312.7,1433,44.5,111
302.8,312.8,1408,45.0,114
302.9,312.9,1425,46.2,117
303.0,313.0,1551,42.8,120
303.1,313.1,1408,46.3,123
303.2,313.2,1498,49.4,126
303.3,313.3,1433,40.1,129
303.4,313.4,1408,40.0,132
303.5,313.5,1425,41.2,135
303.6,313.6,1498,43.1,138
303.7,313.7,1433,44.5,141
303.8,313.8,1408,45.0,144
303.9,313.9,1425,46.2,147
