Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
298.1,308.6,1551,42.8,0
299.0,309.1,1433,40.1,10
300.0,310.0,1551,42.8,20
301.0,311.0,1408,46.3,30
302.0,312.0,1498,49.4,40
303.0,313.0,1433,40.1,50
304.0,314.0,1408,40.0,60
305.0,315.0,1425,41.2,70
306.0,316.0,1498,43.1,80
307.0,317.0,1433,44.5,90
308.0,318.0,1408,45.0,100
309.0,319.0,1425,46.2,110
310.0,320.0,1551,42.8,120
311.0,321.0,1408,46.3,130
312.0,322.0,1498,49.4,140
313.0,323.0,1433,40.1,150
314.0,324.0,1408,40.0,160
315.0,325.0,1425,41.2,170
316.0,326.0,1498,43.1,180
317.0,327.0,1433,44.5,190
295.0,305.0,2861,3.8,200
296.0,306.0,2861,3.8,205
297.0,307.0,2861,3.8,210
298.0,308.0,2861,3.8,215
299.0,309.0,2861,3.8,220
300.0,310.0,1380,72.0,225
301.0,311.0,1380,72.0,230
302.0,312.0,1380,72.0,235
303.0,313.0,1380,72.0,240
304.0,314.0,1380,72.0,245
305.0,315.0,1551,42.8,250
306.0,316.0,1408,46.3,255
307.0,317.0,1498,49.4,260
308.0,318.0,1433,40.1,200
309.0,319.0,1408,40.0,195
310.0,320.0,1425,41.2,190
311.0,321.0,1498,43.1,185
312.0,322.0,1433,44.5,180
313.0,323.0,1408,45.0,175
314.0,324.0,1425,46.2,170
315.0,325.0,1551,42.8,165
316.0,326.0,1408,46.3,160
317.0,327.0,1498,49.4,155
318.0,328.0,1433,40.1,150
319.0,329.0,1408,40.0,145
320.0,330.0,1425,41.2,140
321.0,331.0,1498,43.1,135
322.0,332.0,1433,44.5,130
323.0,333.0,1408,45.0,125
324.0,334.0,1425,46.2,120
