Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
295.0,305.0,2861,3.8,200
295.1,305.1,2861,3.8,205
295.2,305.2,2861,3.8,210
295.3,305.3,2861,3.8,215
295.4,305.4,2861,3.8,220
296.0,306.0,1380,72.0,225
296.1,306.1,1380,72.0,230
296.2,306.2,1380,72.0,235
296.3,306.3,1380,72.0,240
296.4,306.4,1380,72.0,245
297.0,307.0,2861,3.8,250
297.1,307.1,2861,3.8,255
297.2,307.2,2861,3.8,260
297.3,307.3,2861,3.8,265
297.4,307.4,2861,3.8,270
298.0,308.0,1380,72.0,200
298.1,308.1,1380,72.0,205
298.2,308.2,1380,72.0,210
298.3,308.3,1380,72.0,215
298.4,308.4,1380,72.0,220
299.0,309.0,2861,3.8,225
299.1,309.1,2861,3.8,230
299.2,309.2,2861,3.8,235
299.3,309.3,2861,3.8,240
299.4,309.4,2861,3.8,245
300.0,310.0,1380,72.0,250
300.1,310.1,1380,72.0,255
300.2,310.2,1380,72.0,260
300.3,310.3,1380,72.0,265
300.4,310.4,1380,72.0,270
301.0,311.0,2861,3.8,200
301.1,311.1,2861,3.8,205
301.2,311.2,2861,3.8,210
301.3,311.3,2861,3.8,215
301.4,311.4,2861,3.8,220
302.0,312.0,1380,72.0,225
302.1,312.1,1380,72.0,230
302.2,312.2,1380,72.0,235
302.3,312.3,1380,72.0,240
302.4,312.4,1380,72.0,245
303.0,313.0,2861,3.8,250
303.1,313.1,2861,3.8,255
303.2,313.2,2861,3.8,260
303.3,313.3,2861,3.8,265
303.4,313.4,2861,3.8,270
304.0,314.0,1380,72.0,200
304.1,314.1,1380,72.0,205
304.2,314.2,1380,72.0,210
304.3,314.3,1380,72.0,215
304.4,314.4,1380,72.0,220
